GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
0500000US29165,29165,"Platte County, Missouri",180700,10361
0500000US29183,29183,"St. Charles County, Missouri",196900,3939
0500000US29187,29187,"St. Francois County, Missouri",100500,7199
0500000US29189,29189,"St. Louis County, Missouri",178100,3152
0500000US29510,29510,"St. Louis city, Missouri",120900,5553
0500000US30013,30013,"Cascade County, Montana",158300,4554
0500000US30029,30029,"Flathead County, Montana",227300,11490
0500000US30031,30031,"Gallatin County, Montana",254000,14836
0500000US30063,30063,"Missoula County, Montana",238800,10936
0500000US30111,30111,"Yellowstone County, Montana",178600,7357
0500000US31055,31055,"Douglas County, Nebraska",143900,2290
0500000US31109,31109,"Lancaster County, Nebraska",148200,3084
0500000US31153,31153,"Sarpy County, Nebraska",162800,4154
0500000US32003,32003,"Clark County, Nevada",170100,2231
0500000US32031,32031,"Washoe County, Nevada",215700,7001
0500000US33005,33005,"Cheshire County, New Hampshire",209900,11756
0500000US33009,33009,"Grafton County, New Hampshire",215200,9840
0500000US33011,33011,"Hillsborough County, New Hampshire",257100,5282
0500000US33013,33013,"Merrimack County, New Hampshire",234700,6044
0500000US33015,33015,"Rockingham County, New Hampshire",281200,6585
0500000US33017,33017,"Strafford County, New Hampshire",217200,7345
0500000US34001,34001,"Atlantic County, New Jersey",238400,6119
0500000US34003,34003,"Bergen County, New Jersey",463800,6647
0500000US34005,34005,"Burlington County, New Jersey",265500,5467
0500000US34007,34007,"Camden County, New Jersey",218300,3906
0500000US34009,34009,"Cape May County, New Jersey",327300,16939
0500000US34011,34011,"Cumberland County, New Jersey",177600,6982
0500000US34013,34013,"Essex County, New Jersey",374000,6181
0500000US34015,34015,"Gloucester County, New Jersey",232100,4404
0500000US34017,34017,"Hudson County, New Jersey",352600,7736
0500000US34019,34019,"Hunterdon County, New Jersey",411400,15336
0500000US34021,34021,"Mercer County, New Jersey",293600,7804
0500000US34023,34023,"Middlesex County, New Jersey",341300,3322
0500000US34025,34025,"Monmouth County, New Jersey",399900,8766
0500000US34027,34027,"Morris County, New Jersey",444100,8101
0500000US34029,34029,"Ocean County, New Jersey",279200,5285
0500000US34031,34031,"Passaic County, New Jersey",365200,5770
0500000US34033,34033,"Salem County, New Jersey",196100,8418
0500000US34035,34035,"Somerset County, New Jersey",398200,10553
0500000US34037,34037,"Sussex County, New Jersey",293700,8480
0500000US34039,34039,"Union County, New Jersey",378300,7173
0500000US34041,34041,"Warren County, New Jersey",287700,9792
0500000US35001,35001,"Bernalillo County, New Mexico",192800,3139
0500000US35005,35005,"Chaves County, New Mexico",93400,11956
0500000US35013,35013,"Doña Ana County, New Mexico",145600,9758
0500000US35031,35031,"McKinley County, New Mexico",60800,7100
